1132509053,56,322
1132524842,43,314
1132544842,36,321
1132564842,35,372
1132584842,53,320
1132604842,29,318
1132624842,33,327
1132644842,65,332
1132664842,40,311
1132684842,36,321
1132704842,56,335
1132724842,45,311
1132744842,37,321
1132764842,140,353
1132784842,52,317
1132804842,29,324
1132824842,33,365
1132844842,57,321
1132864842,35,320
1132884842,34,329
1132904842,60,329
1132924842,40,317
1132944842,36,347
1132964842,71,353
1132984842,54,318
1133004842,39,327
1133024842,34,334
1133044842,73,333
1133064842,38,299
1133084842,41,321
1133104842,35,369
1133124842,59,330
1133144842,48,311
1133164842,39,323
1133184842,105,348
1133204842,48,316
1133224842,35,328
1133244842,35,324
1133264842,68,347
1133284842,43,313
1133304842,36,329
1133324842,42,354
1133344842,71,332
1133364842,40,307
1133384842,36,324
1133404842,27,358
1133424842,44,332
1133444842,42,312
1133464842,42,325
1133484842,132,350
1133504842,56,324
1133524842,46,322
1133544842,32,325
1133564842,70,330
1133584842,55,313
1133604842,38,293
1133624842,36,325
1133644842,68,332
1133664842,48,316
1133684842,38,324
1133704842,51,370
1133724842,62,330
1133744842,41,306
1133764842,40,326
1133784842,89,341
1133804842,46,320
1133824842,36,323
1133844842,38,330
1133864842,36,354
1133884842,58,322
1133904842,23,324
1133924842,38,329
1133944842,61,339
1133964842,45,319
1133984842,46,324
1134004842,41,328
1134024842,75,340
1134044842,47,312
1134064842,22,304
1134084842,30,390
1134104842,62,336
1134124842,45,302
1134144842,33,323
1134164842,28,353
1134184842,78,323
1134204842,44,320
1134224842,40,332
1134244842,32,373
1134264842,59,325
1134284842,20,316
1134304842,32,323
1134324842,42,343
1134344842,53,313
1134364842,36,315
1134384842,16,325
1134404842,76,352
1134424842,46,319
1134444842,43,327
1134464842,36,320
1134484842,58,353
1134504842,32,304
1134524842,39,325
1134544842,43,327
1134564842,58,347
1134584842,46,310
1134604842,35,323
1134624842,36,322
1134644842,75,332
1134664842,54,308
1134684842,36,324
1134704842,40,387
1134724842,72,330
1134744842,44,318
1134764842,35,323
1134784842,48,396
1134804842,71,330
1134824842,48,311
1134844842,34,323
1134864842,33,356
1134884842,84,334
1134904842,51,297
1134924842,37,331
1134944842,34,353
1134964842,67,320
1134984842,31,312
1135004842,36,321
1135024842,48,374
1135044842,64,320
1135064842,23,292
1135084842,19,312
1135104842,25,377
1135124842,55,328
1135144842,43,310
1135164842,74,333
1135184842,141,319
1135204842,58,322
1135224842,22,322
1135244842,39,323
1135264842,111,343
1135284842,43,304
1135304842,28,319
1135324842,38,331
1135344842,76,340
1135364842,54,322
1135384842,40,335
1135404842,42,323
1135424842,66,347
1135444842,57,318
1135464842,43,316
1135484842,39,322
1135504842,79,341
1135524842,52,315
1135544842,35,333
1135564842,39,405
1135584842,61,356
1135604842,46,303
1135624842,36,325
1135644842,36,349
1135664842,60,333
1135684842,39,310
1135704842,36,351
1135724842,118,372
1135744842,57,319
1135764842,39,320
1135784842,27,325
1135804842,62,348
1135824842,51,313
1135844842,43,315
1135864842,38,331
1135884842,82,332
1135904842,51,310
1135924842,34,326
1135944842,41,372
1135964842,61,334
1135984842,47,286
1136004842,38,327
1136024842,26,349
1136044842,52,324
1136064842,45,355
1136084842,27,334
1136104842,81,342
1136124842,52,324
1136144842,38,330
1136164842,37,323
1136184842,95,350
1136204842,47,324
1136224842,39,330
1136244842,72,414
1136264842,64,340
1136284842,37,307
1136304842,44,331
1136324842,140,354
1136344842,56,322
1136364842,51,326
1136384842,38,332
1136404842,94,349
1136424842,48,315
1136444842,35,332
1136464842,33,337
1136484842,68,332
1136504842,57,316
1136524842,44,334
1136544842,57,364
1136564842,52,324
1136584842,40,332
1136604842,39,334
